시도명,시군구명,읍면동명,삭제일자
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,돌마면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,구천면,1988-04-23
경기도,광주군,언주면,1988-04-23
강원도,울진군,울진면,1988-04-23
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,소래읍,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-04-23
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,수암면,1988-12-31
경기도,시흥군,군자면,1988-12-31
